,City,Lat,Lng,Cloudiness,Max Temp,Humidity,Wind Speed,Country,Date
358,Dobreni,46.9833,26.4167,20,46.0,9,6.33,RO,1619382679
359,Kailua,21.4022,-157.7394,75,82.4,65,13.8,US,1619382679
360,Mafinga,-7.25,35.0667,89,66.7,86,2.73,TZ,1619382680
361,Kabalo,-6.05,26.9167,95,70.2,94,1.59,CD,1619382680
362,Aloleng,16.1307,119.7824,7,78.1,76,8.86,PH,1619382419
363,Santa Cruz del Sur,20.7147,-77.9956,11,84.69,64,14.85,CU,1619382681
364,Saint-Augustin,51.226,-58.6502,90,47.73,45,6.06,CA,1619382681
365,Gizo Government Station,-8.103,156.8419,17,83.01,72,3.56,SB,1619382681
366,Yar-Sale,66.8333,70.8333,100,33.4,90,12.21,RU,1619382682
367,Coquimbo,-29.9533,-71.3436,0,62.6,72,11.5,CL,1619382682
368,Novobiryusinskiy,56.9578,97.7076,100,34.09,97,8.16,RU,1619382682
369,Mīrābād,30.4362,61.8383,3,80.58,15,10.58,AF,1619382392
370,Adrar,20.5022,-10.0711,35,87.49,16,9.42,MR,1619382683
371,Shimoda,34.6667,138.95,58,48.0,45,1.99,JP,1619382596
372,Bria,6.5423,21.9863,100,70.02,91,2.68,CF,1619382683
373,Haverfordwest,51.8017,-4.9691,22,48.0,95,10.42,GB,1619382684
374,Bāfq,31.6128,55.4107,100,74.21,38,5.06,IR,1619382684
375,Osa,57.2829,55.4567,100,39.34,70,13.33,RU,1619382685
376,Santa Cruz,30.4202,-9.5982,40,66.2,72,9.22,MA,1619382685
377,Linjiang,41.8069,126.9078,92,38.66,45,2.48,CN,1619382685
378,Turan,16.0678,108.2208,40,80.6,89,3.44,VN,1619382686
379,Sakata,38.9167,139.855,67,44.35,59,17.02,JP,1619382686
380,Krasnogorskiy,54.6025,61.231,12,41.47,73,10.22,RU,1619382686
381,Dunmore Town,25.5,-76.65,4,78.84,81,10.45,BS,1619382687
382,Wagar,16.1525,36.2032,0,88.56,36,9.95,SD,1619382687
383,Topchikha,52.8192,83.1185,0,42.8,24,4.47,RU,1619382688
384,Pochutla,15.7432,-96.4661,75,89.01,62,11.5,MX,1619382533
385,Mezen',65.8522,44.24,100,42.39,85,5.3,RU,1619382309
386,Couva,10.4225,-61.4675,20,86.0,54,14.97,TT,1619382688
387,Çayeli,41.0923,40.7292,100,53.47,93,2.8,TR,1619382689
388,Opunake,-39.4556,173.8583,87,52.0,89,5.01,NZ,1619382689
389,Barranca,-10.75,-77.7667,15,70.32,74,7.9,PE,1619382548
390,Saldanha,-33.0117,17.9442,92,60.8,88,5.75,ZA,1619382690
391,Kahului,20.8947,-156.47,40,80.6,57,20.71,US,1619382690
392,Baijiantan,45.6333,85.1833,50,45.55,22,4.05,CN,1619382690
393,Bayir,37.2687,28.2167,0,62.6,77,6.91,TR,1619382691
394,Nishihara,26.1842,127.7558,20,66.2,88,7.78,JP,1619382691
395,Taoudenni,22.6783,-3.9836,5,94.35,10,10.56,ML,1619382692
396,San-Pédro,4.7485,-6.6363,100,78.24,83,1.79,CI,1619382692
397,Sidrolândia,-20.9319,-54.9614,75,75.2,69,8.05,BR,1619382444
398,Borogontsy,62.6683,131.1683,100,25.77,96,5.12,RU,1619382693
399,Fredericton,45.9454,-66.6656,1,60.8,33,13.8,CA,1619382477
400,Zarichne,51.8126,26.129,10,33.15,67,5.35,UA,1619382693
401,Gisborne,-38.6533,178.0042,3,51.01,84,4.0,NZ,1619382368
402,Sakakah,29.9697,40.2064,75,86.0,16,16.11,SA,1619382656
403,Rosetta,31.4044,30.4164,40,66.2,72,13.8,EG,1619382694
404,Benguela,-12.5763,13.4055,47,79.65,81,5.84,AO,1619382364
405,Mackay,-21.15,149.2,90,69.8,78,10.36,AU,1619382694
406,Bud,39.447,-86.1758,8,61.0,47,8.86,US,1619382598
407,Kismayo,-0.3582,42.5454,68,82.69,74,13.69,SO,1619382570
408,Iralaya,15.0,-83.2333,14,84.43,62,11.27,HN,1619382412
409,Viedma,-40.8135,-62.9967,6,64.08,42,5.44,AR,1619382695
410,Marawi,7.9986,124.2928,100,77.0,90,4.0,PH,1619382326
411,Gayny,60.3071,54.3241,97,36.91,87,9.06,RU,1619382696
412,Karratha,-20.7377,116.8463,0,75.85,62,8.46,AU,1619381900
413,Bonthe,7.5264,-12.505,60,81.84,76,6.46,SL,1619382188
414,Athabasca,54.7169,-113.2854,100,46.4,23,8.05,CA,1619382605
415,Zanjān,36.6736,48.4787,15,61.34,33,2.66,IR,1619382697
416,Kavieng,-2.5744,150.7967,100,81.7,75,2.59,PG,1619382686
417,Petropavlovsk-Kamchatskiy,53.0452,158.6483,90,35.6,100,6.71,RU,1619382460
418,Wanaka,-44.7,169.15,38,41.92,85,7.23,NZ,1619382697
419,Alta Floresta,-9.8756,-56.0861,75,77.0,100,2.3,BR,1619382534
420,Lawrenceburg,38.0373,-84.8966,75,61.0,63,6.82,US,1619382491
421,Buckeye,33.3703,-112.5838,7,96.01,10,13.8,US,1619382698
422,Bariloche,-41.1456,-71.3082,0,66.99,39,6.91,AR,1619382699
423,Nantucket,41.2835,-70.0995,90,48.2,100,26.46,US,1619382699
424,Lithgow,-33.4833,150.15,0,51.01,93,1.88,AU,1619382699
425,Puerto Ayacucho,5.6639,-67.6236,90,84.22,70,6.11,VE,1619382701
426,Boende,-0.2167,20.8667,44,71.92,90,3.44,CD,1619382702
427,Inhambane,-23.865,35.3833,40,75.2,83,2.53,MZ,1619382418
428,Lorengau,-2.0226,147.2712,56,79.93,82,5.66,PG,1619382702
429,Porbandar,21.6422,69.6093,1,82.13,78,10.45,IN,1619382285
430,Snyder,32.7179,-100.9176,1,89.6,15,20.71,US,1619382525
431,Turukhansk,65.8167,87.9833,15,6.49,95,6.26,RU,1619381861
432,Iqaluit,63.7506,-68.5145,90,33.8,80,3.44,CA,1619382450
433,Thinadhoo,0.5333,72.9333,48,82.08,66,4.85,MV,1619382703
434,Sīrjān,29.452,55.6814,84,67.1,33,1.41,IR,1619382703
435,Mandera,3.9366,41.867,100,81.46,64,7.05,KE,1619382675
436,Sisimiut,66.9395,-53.6735,97,41.23,72,3.65,GL,1619382216
437,Sabang,5.8933,95.3214,94,81.79,75,12.5,ID,1619382517
438,Yagodnoye,62.55,149.6667,9,1.11,88,2.8,RU,1619382704
439,Nioro,13.35,-15.75,1,84.36,35,10.96,GM,1619382149
440,Ilo,-17.6394,-71.3375,15,68.52,77,6.85,PE,1619382705
441,Hailar,49.2,119.7,100,49.71,28,15.93,CN,1619382705
442,Matara,5.9485,80.5353,21,77.25,88,2.89,LK,1619382706
443,Assiniboia,49.6334,-105.9845,100,35.6,80,11.5,CA,1619382706
444,Voh,-20.9667,164.7,100,74.3,85,7.05,NC,1619382707
445,Mandalgovi,45.7625,106.2708,25,31.26,62,22.97,MN,1619382707
446,Ahtopol,42.1,27.95,0,44.6,93,4.61,BG,1619382708
447,Huangpi,30.8845,114.3779,97,57.2,94,4.47,CN,1619382708
448,Abu Dhabi,24.4667,54.3667,0,87.8,28,8.1,AE,1619382709
449,Dinghaicun,26.2847,119.7936,75,68.0,77,8.95,CN,1619382709
450,Seydi,39.4816,62.9137,52,72.84,19,17.45,TM,1619382709
451,Pachalum,14.9247,-90.6628,20,82.99,42,13.8,GT,1619382710
452,Isangel,-19.55,169.2667,100,76.28,87,11.41,VU,1619382508
453,Bulungu,-4.55,18.6,11,71.58,90,1.63,CD,1619382710
454,Marzuq,14.4,46.4667,71,69.39,77,7.29,YE,1619382711
455,Dullewala,31.8359,71.4362,1,82.99,20,7.16,PK,1619382711
456,Vinh Yen,21.31,105.5967,75,78.8,100,3.44,VN,1619382637
457,Jiuquan,39.7432,98.5174,100,41.32,15,12.59,CN,1619382712
458,Mehamn,71.0357,27.8492,75,33.8,75,13.8,NO,1619382712
459,Wawa,9.9022,4.4192,100,85.05,53,2.71,NG,1619382324
460,Sinop Province,41.7711,34.8709,93,42.49,88,2.84,TR,1619382579
461,Abu Samrah,35.3029,37.1841,55,70.79,42,5.12,SY,1619382713
462,Oruzgan,32.8333,66.0,43,65.52,13,1.45,AF,1619382177
463,Erenhot,43.6475,111.9767,97,52.86,54,20.47,CN,1619382568
464,Zopilotepe,14.6,-86.2667,75,89.6,48,4.74,HN,1619382714
465,Şereflikoçhisar,38.9393,33.5386,53,56.98,60,10.31,TR,1619382714
466,Vestmannaeyjar,63.4427,-20.2734,0,45.03,81,19.26,IS,1619382714
467,Baghdad,33.3406,44.4009,0,89.6,19,6.91,IQ,1619382611
468,Lavrentiya,65.5833,-171.0,94,29.88,84,1.72,RU,1619382623
469,Mirabela,-16.2628,-44.1644,0,86.0,32,4.61,BR,1619382415
470,Christchurch,-43.5333,172.6333,67,52.0,93,5.75,NZ,1619382715
471,Dongsheng,39.8161,109.9776,0,42.6,87,9.31,CN,1619382716
472,Manono,-7.3,27.4167,100,70.12,95,2.21,CD,1619382351
473,Fukuechō,32.6881,128.8419,85,58.78,59,29.55,JP,1619382717
474,Nuevo San Juan,9.2233,-79.6619,40,93.2,46,13.8,PA,1619382717
475,Kalmunai,7.4167,81.8167,49,78.28,78,5.21,LK,1619382717
476,Bluefield,37.2698,-81.2223,90,54.0,66,9.22,US,1619382445
477,Aklavik,68.2191,-135.0107,1,24.8,68,9.22,CA,1619382669
478,Satwās,22.5333,76.6833,29,85.1,10,5.01,IN,1619382718
479,Nabire,-3.3667,135.4833,100,74.5,91,2.42,ID,1619382718
480,La Palma,33.8464,-118.0467,75,69.8,52,10.36,US,1619382719
481,Ensley,30.5188,-87.2728,1,80.6,41,9.22,US,1619382719
482,Doha,25.2867,51.5333,39,82.99,74,4.61,QA,1619382289
483,Udachny,66.4167,112.4,100,7.14,91,24.38,RU,1619382720
484,Nemuro,43.3236,145.575,15,32.5,65,17.45,JP,1619382720
485,Zhigalovo,54.8097,105.1578,100,25.88,97,3.06,RU,1619382721
486,Bangad,15.5036,121.0275,40,75.2,83,4.61,PH,1619382721
487,Avera,33.194,-82.5271,40,75.2,50,8.05,US,1619382722
488,Faya,18.3851,42.4509,40,62.6,67,6.91,SA,1619382722
489,Esmeraldas,-19.7625,-44.3139,20,84.2,32,9.22,BR,1619382714
490,Port Keats,-14.25,129.55,100,74.35,43,5.59,AU,1619382722
491,Agadez,19.75,10.25,2,88.75,9,5.75,NE,1619382675
492,Severnyy,50.677,36.5532,0,44.6,53,4.47,RU,1619382704
493,Bathsheba,13.2167,-59.5167,20,84.2,51,18.41,BB,1619382723
494,Svatove,49.4103,38.1503,54,42.53,47,6.24,UA,1619382723
495,Bilibino,68.0546,166.4372,98,18.46,92,2.64,RU,1619382587
496,Ponta do Sol,32.6667,-17.1,54,60.01,86,5.99,PT,1619382724
497,Bonavista,48.6499,-53.1147,78,53.6,47,13.8,CA,1619382239
498,Demirci,39.0461,28.6589,74,48.83,88,7.23,TR,1619382724
499,Farafangana,-22.8167,47.8333,19,71.56,89,1.41,MG,1619382725
500,Ormara,25.2088,64.6357,34,81.88,73,10.6,PK,1619382259
501,Santa Helena de Goiás,-17.8136,-50.5969,72,78.3,30,2.95,BR,1619382725
502,Palora,-1.7,-77.9333,40,69.8,94,9.22,EC,1619382686
503,Rio Grande,-32.035,-52.0986,40,71.6,43,16.11,BR,1619382726
504,Aguçadoura,41.4318,-8.7804,20,62.01,82,4.61,PT,1619382726
505,Walvis Bay,-22.9575,14.5053,15,62.01,82,3.44,NA,1619382727
506,Āsosa,10.0667,34.5333,100,64.15,84,4.47,ET,1619382458
507,Tiznit Province,29.5833,-9.5,0,59.76,63,4.29,MA,1619382727
508,Naze,28.3667,129.4833,34,64.15,71,10.85,JP,1619382553
509,Palmer,42.1584,-72.3287,90,55.4,62,4.61,US,1619382481
510,Aswān,24.0934,32.907,0,89.37,9,7.94,EG,1619382136
511,La Providencia,28.7167,-111.5833,100,89.01,36,11.01,MX,1619382728
512,San Blas,21.5167,-105.2667,40,89.6,33,9.22,MX,1619382728
513,Meybod,32.2501,54.0166,75,78.8,25,11.5,IR,1619382729
514,Tabou,4.423,-7.3528,100,79.41,81,3.42,CI,1619382729
515,Acajutla,13.5928,-89.8275,20,95.0,34,5.75,SV,1619382671
516,Lata,40.1629,-8.3327,98,60.01,93,3.47,PT,1619382333
517,Sembabule,-0.0772,31.4567,77,60.39,91,3.11,UG,1619382730
518,Xingyi,24.1877,102.817,80,61.48,70,3.04,CN,1619382730
519,Novy Urengoy,66.0833,76.6333,100,28.42,94,8.66,RU,1619382731
520,Mīzan Teferī,6.9833,35.5833,100,62.2,95,2.15,ET,1619382731
521,Tomatlán,19.9333,-105.25,99,89.87,36,11.1,MX,1619382732
522,Port Hardy,50.6996,-127.4199,90,50.0,87,6.91,CA,1619382732
523,Lagoa,39.05,-27.9833,99,59.23,81,13.38,PT,1619382667
524,Troitsk,54.0979,61.5773,50,44.49,65,10.33,RU,1619382732
525,Bol'shoye Selo,57.7177,38.9334,100,32.38,97,13.73,RU,1619382733
526,Svetlaya,46.5389,138.3297,38,31.96,49,5.21,RU,1619382440
527,Muyezerskiy,63.9333,31.65,99,37.36,89,11.86,RU,1619382733
528,Kizema,61.113,44.8302,100,39.58,97,5.91,RU,1619382734
529,Alice Town,25.7167,-79.3,0,80.76,79,18.07,BS,1619382734
530,Areosa,41.7178,-8.8571,20,60.8,82,4.61,PT,1619382734
531,Yerbogachën,61.2767,108.0108,100,29.16,91,7.25,RU,1619382735
532,Waingapu,-9.6567,120.2641,62,75.51,79,8.25,ID,1619382735
533,Nelson Bay,-32.7167,152.15,27,54.0,100,6.91,AU,1619382735
534,Souillac,-20.5167,57.5167,75,75.2,94,12.66,MU,1619382736
535,Vila Velha,-20.3297,-40.2925,40,80.6,74,5.75,BR,1619382736
536,Otorohanga,-38.1833,175.2,92,52.0,98,2.82,NZ,1619382736
537,New Glasgow,45.5834,-62.6486,100,62.6,36,13.8,CA,1619382611
538,Muriwai Beach,-36.8167,174.45,55,57.0,97,8.55,NZ,1619382737
539,Russell,32.3502,-85.1999,1,77.0,44,12.66,US,1619382278
540,Pachino,36.7186,15.0907,0,51.01,93,3.44,IT,1619382737
541,Luanda,-8.8368,13.2343,75,80.6,89,4.61,AO,1619382601
542,Sitka,57.0531,-135.33,20,55.4,54,4.61,US,1619382738
543,Lima,-12.0432,-77.0282,75,68.0,77,6.91,PE,1619382502
544,Bukama,-9.2,25.85,98,68.25,94,1.1,CD,1619382738
545,Mullingar,53.5333,-7.35,0,46.99,81,8.05,IE,1619382739
546,Worland,44.0169,-107.9554,1,66.0,24,10.36,US,1619382739
547,Edineţ,48.1681,27.305,98,45.0,71,5.99,MD,1619382740
548,Mozarlândia,-14.7447,-50.5706,18,82.2,54,6.91,BR,1619382740
549,Yichun,47.7,128.9,100,34.14,46,2.37,CN,1619382740
550,Catuday,16.2923,119.8062,5,77.27,74,8.39,PH,1619382566
551,Amga,60.8953,131.9608,100,29.01,99,2.82,RU,1619382358
